,step,loss,accuracy
0,100.0,1.9458497154712677,35.375
1,200.0,0.8345608779788017,54.1640625
2,300.0,0.41090921938419345,65.34895833333333
3,400.0,0.22917532004415989,72.3046875
4,500.0,0.2206900603696704,76.45625
5,600.0,0.17831362824887037,79.49739583333333
6,700.0,0.13744954265654086,81.82366071428571
7,800.0,0.1276479149237275,83.62109375
8,900.0,0.11677887458354234,85.01909722222223
9,1038.0,0.09126449625939131,97.1875
10,1138.0,0.10295497927814722,97.0390625
11,1238.0,0.09147435773164034,97.06770833333333
12,1338.0,0.07431138664484024,97.23046875
13,1438.0,0.09206674706190825,97.190625
14,1538.0,0.07928968675434589,97.26041666666667
15,1638.0,0.07239751763641834,97.38392857142857
16,1738.0,0.07493843581527472,97.41015625
17,1838.0,0.07280959900468588,97.47222222222223
18,1976.0,0.056842057518661025,98.140625
19,2076.0,0.056914233565330506,98.171875
20,2176.0,0.058180091604590416,98.20833333333333
21,2276.0,0.05159036286175251,98.25
22,2376.0,0.05341906126588583,98.25
23,2476.0,0.05661454364657402,98.2421875
24,2576.0,0.048123266473412515,98.29017857142857
25,2676.0,0.04787473110482097,98.31640625
26,2776.0,0.046617752611637114,98.34722222222223
27,2914.0,0.03823300823569298,98.84375
28,3014.0,0.046412436179816725,98.671875
29,3114.0,0.027452991642057896,98.859375
30,3214.0,0.0316948252171278,98.8828125
31,3314.0,0.034999952167272565,98.875
32,3414.0,0.032874262891709805,98.88541666666667
33,3514.0,0.056069167219102385,98.8125
34,3614.0,0.03974192652851343,98.791015625
35,3714.0,0.04128671787679195,98.79166666666667
36,3852.0,0.023687796480953694,99.171875
37,3952.0,0.022074033580720423,99.25
38,4052.0,0.03209441594779491,99.15625
39,4152.0,0.024298018626868725,99.203125
40,4252.0,0.031164073646068574,99.18125
41,4352.0,0.024371238611638545,99.19010416666667
42,4452.0,0.028439811989665033,99.18080357142857
43,4552.0,0.02228259515017271,99.181640625
44,4652.0,0.03475232657045126,99.13715277777777
